,timestamp,content
0,2022-09-04,"With the rise of global action around data privacy and protection laws, researchers need to think about how participant privacy is maintained before, during, and after a research study. While the data collected is valuable to researchers, it is even more important to the participants in a research study. It is our responsibility to make sure we do not violate research- ethics principles and we respect participant involvement every step of the way.
Why Protecting Participant Data Is Important
As data collection and dependence on the Internet have risen, so have data breaches and cyber threats. Research participants are more vulnerable than ever as researchers conduct remote usability tests, use third party applications, or store and share data online. In 2021, according to Politico, nearly 50 million people in the U.S. faced a health-data breach. Data breaches pose huge privacy and security concerns for consumers and cost the health-care industry billions of dollars. To avoid such data losses and privacy infringements, regardless of industry, we need to develop privacy and security practices that seamlessly fit into the user-research process.
Key Terms
Data-privacy terminology isn’t always the easiest to understand. Before discussing best practices for data privacy and protection, we need to define a few terms.

Encryption is the process of scrambling data or converting it into code. Encrypted formats make the data unreadable, which is important when transferring and sharing data online. Encrypted data comes with a key provided by the sender. This often takes the form of a password or passphrase.
Confidentiality vs. anonymity: These terms are often used interchangeably but understanding the difference between them is critical for protecting research participants. Confidentiality is the state of keeping information private. When data is confidential, it means that it is known and associated with a particular participant, but that information is not shared with others. In contrast, the information is anonymous if it cannot be linked back to the identity of the participant who was the source of that information.
Informed consent is the process through which research participants (1) are informed of what data will be collected and how it will be used and (2) agree to these terms.

6 Best Practices for Protecting Participant Data in User Research
While data-protection efforts should be considered carefully for each study, below you will find a list of foundational best practices to follow before, during, and after a study.
Before Data Collection Begins
1. Establish a data-management process.
When it comes to data, you want to be proactive.  Create guidelines about how data should be collected, stored, protected, and shared with others. Then make sure you communicate these to all the members of a team. A designated editor can update the guidelines as laws or company policies change. Guidelines should include information about:

Consent forms and what they should include
Storing and sharing participant data
Deleting data when a study is complete
A plan in case there is a data breach

2. Develop a data-collection plan for preserving participants’ confidentiality.
Before collecting your data, understand the laws and regulations that require data to be confidential. Laws are dependent on where you live, but a good place to start is European Union’s General Data Protection Regulation (GDPR), which is considered the strictest privacy and security law in the world. While laws and regulations are complex, they exist to minimize the risk of data breaches and cyber threats. Researchers need to follow the law and use it as a guiding framework when developing a data-collection plan. Your data-collection plan should include what data will be collected, how it will be used, and who it will potentially be shared with. Developing a data-collection plan around confidentiality requires researchers to ask themselves the following questions:

Do I need to collect this identifiable data? Will this data affect my results?  As a researcher, you need to be able to justify the identifiable data you are collecting. A good way to do this is to make a list of identifiers you are collecting and describe why you need each and how it will be used. This information will be helpful for creating participant-consent forms, as well.
What tools should I use to collect data safely and securely? When multiple people are conducting research, you often end up with multiple tools and, as a result, multiple ways in which data is stored. Teams need to decide which tools to use before data collection, to avoid having data stored in multiple places and, thus, manage the risk associated with a data breach.

3. Informed Consent
Informed consent creates a two-way street between the researcher and the participant before the start of data collection. Researchers inform participants about what their involvement in the study entails, what data will be collected, and how it will be used. Then, participants are given the opportunity to make an informed decision about their involvement based on the information that is provided. This communication is typically presented as a consent form, which should include the following:

Information about the study and the activities involved
What data will be collected
How the data collected will be used
Steps researchers will take to secure their data

During and After Data Collection
4. Maintain participant anonymity. 
Anonymity should be preserved while taking notes, while cleaning data and preparing it for storage, or while disseminating results. Qualitative researchers need to pay close attention to how they present participants’ personal details. While they may not be using names and other key identifiers, personal information can still be deduced based on individual or group traits represented in the data. With that in mind, research teams should follow these best practices:

Be intentional about the data they collect and ask only for information they really need from participants.
Do not use participant names or any other key identifies (e.g., Social Security number, date of birth) in notes and file names.
In usability testing, pause the recording while participants type in usernames, passwords, addresses, or other identifying information. You can also consider using fake credentials if appropriate for the study.
If, in spite of precautions, a video or audio recording does include identifying information, make sure to delete that part of the recording or blur it as soon as possible.

5. Share files in a secure way with only those people who need them.
In general, researchers should control who has access to data and when they have access to it. Access should only be given to people who actually need it. Researchers should not collect and share data on cloud-storage services like Google Drive, Dropbox, and One Drive. The challenging part about cloud storage is that you don’t have complete control over data. For example, if cloud services are down or hacked, you don’t have the control to fix the issue. While using cloud services makes it easy to share information, researchers do not have complete control over data stored in the cloud and further expose research participants to data breaches and cyber threats. Instead, researchers should consider using an external drive to storing encrypted data and find more-secure ways to share data (e.g., using secure file-transfer services like Hightail).  
6. Delete data that is no longer needed.
It can be tempting to hold on to data but one of the best ways to protect data is to delete it once you are done with it. This practice reduces data-breach risks. There will also be instances where your client or participant wants data permanently removed. To make this as easy as possible, researchers should have:

A clear way to identify and retrieve a participant’s individual data. For example, researchers could follow a standard format for how they name data files and folders. This practice makes it easier to navigate to the appropriate folder with all the data from that participant. If you include participant data in a presentation or other deliverables, you could use tags in data files to indicate where that data point was used externally.
No duplications of data in multiple places
A consistent way of storing data so it can be found easily in the case it needs to be deleted immediately. Researchers shouldn’t be searching for places where the data files could be. They should already know where it is. Consistency helps researchers keep track of the data effectively and efficiently.

Applying Best Practices
Applying privacy and security best practices shouldn’t involve extra work. Rather, it should fit seamlessly into the 5 steps of the user-research process:

Develop a research plan
Recruit participants
Conduct research
Synthesize Data
Share Data



How privacy and security best practices can be integrated into the 5-step user-research process




How privacy and security best practices can be integrated into the 5-step user-research process


To heighten the value and impact of privacy and security of research participants at scale, these best practices should be implemented into existing Research Operations (ResearchOps). ResearchOps streamlines dedicated roles and efforts toward managing operational aspects associated with privacy and security. Building in these practices and finding ways to operationalize them allows researchers to spend more time conducting studies and uncovering insights at scale, in a safe and secure way.
Conclusion
Maintaining participant data privacy and security should be a priority for all researchers. As researchers continue to develop new technologies and work with more research participants to do so, following these best practices is an important place to start.
Reference
Kaiser, K., 2009. Protecting Respondent Confidentiality in Qualitative Research. [ebook] Chicago: Qualitative Health Research. (Nov. 2009), DOI: https://doi.org/10.1177/1049732309350879
 "
1,2022-08-21,"

















For further detail, see When to Use Which User-Experience Research Methods."
2,2022-07-24,"The funnel technique has been around since qualitative interviews emerged as a research method. This technique involves asking broad open-ended questions before gradually introducing more narrowly-scoped open-ended questions, as well as closed questions. 
This idea of starting broad before getting more specific is valuable in other types of studies besides user interviews. This technique can help you organize:

Interview questions
Followup questions
Usability tasks
Research in a multimethod study

This article discusses how the funnel technique can be used in user interviews and in moderated usability tests. 
Why Is It Called the Funnel Technique?
A funnel is broad at the top and narrow at the bottom, which makes it easy to pour a substance (for example, oil or rice) into a container with a narrow opening (for example, a bottle or jar). 
Similarly, the funnel technique in user research involves moving from broad to narrow — in other words, from general to specific. The funnel is a fitting metaphor because a user interview or usability-test session should start with broad, exploratory questions or tasks before introducing specific, narrowly scoped questions or tasks. 
The purpose of the funnel technique is to avoid influencing user behavior or perceptions as much as possible. When we ask specific questions or give specific tasks too early in a research session, we risk introducing bias and missing important data.


A funnel starts broad and gradually gets narrower. In qualitative interviews and usability tests, starting with broad, exploratory questions or tasks can generate lots of unbiased information about users’ natural thoughts and behaviors. As we introduce specific questions or tasks, we gather less information but more specific details.


The Funnel Technique in User Interviews
An interview guide for a user interview will usually consist of 5–8 open-ended questions that get participants to share relevant stories or experiences. These are followed by followup questions, which can be open-ended or closed.
An interview should start with broad, open-ended questions like Tell me about the last time you ordered movie tickets.
Starting with broad open-ended questions:

Gets the participant comfortable with talking
Allows the participant to begin sharing stories
Generates lots of new, unanticipated information
Avoids the researcher priming the participant

After the participant responds, the interviewer should ask open-ended followup questions (known as probing questions) to dig into areas of the participant’s response that the researcher wants to learn more about. These include questions like:

Can you expand on that?
What do you mean by that?
How do you feel about that?
Why do you think that?

The interviewer may also want to gather additional information and details that the participant omitted, by introducing closed questions, such as: 

When did you see this movie?
Did you go alone?
How long was the movie?

For each main question prepared in the interview guide, the interviewer is moving from broad open-ended questions to closed questions. With each new question in the guide, the funneling process repeats.


Each main interview question is usually broad and open-ended; it is followed by open-ended followup questions and gradually more closed questions. With each new interview question, the funnel process repeats.


When we make use of the funnel technique, we allow space for us to learn new things before gathering detail. This approach to interviewing is the best way to build rapport and learn what users really think without priming them.
The Funnel Technique in Qualitative Usability Tests
In qualitative usability testing, funneling can be used in: 

Creating and ordering tasks
Devising the sequence of followup questions after a participant completes a task

Funneling Tasks
The same process of moving from broad to specific can apply to constructing and ordering tasks for a qualitative usability test. Broad exploratory tasks — which allow us to learn how people do things on their own — should be given before specific, directed tasks that ask users to find or do something that they might not otherwise do.
Another metaphor for the funnel technique is a mouse in a maze. Imagine a researcher in a lab wants to see if a mouse can find a piece of cheese in a large maze. They might start off by giving the mouse the entire maze and seeing whether it finds the cheese. After some time, if the mouse hasn’t arrived at the cheese, they could slowly start closing off incorrect pathways, increasing the chances that the mouse will find the cheese.



Applying the funnel technique can work a bit like guiding a mouse in a maze — we're first seeing if the mouse can find its way to the cheese on its own, but then closing off some pathways as needed.






Applying the funnel technique can work a bit like guiding a mouse in a maze — we're first seeing if the mouse can find its way to the cheese on its own, but then closing off some pathways as needed.



In this metaphor, the mouse is the participant, and the cheese is the aspect of the design that we’re interested in studying. It’s better to first see if our participants get there on their own, but we might have to nudge them a bit.




Task to give the participant


Rationale




Task 1: Using the site, see if there’s a recipe you might like to cook.


Broad exploratory task: We’re allowing the user to define the end point of the task and complete it in their own way.




Task 2: Use the site to find an easy recipe you might like to cook for dinner.


Directed task: This task has a defined end point and success criterion. We’re asking participants to find something that they might not otherwise look for.




Task 3: Using the search, find a recipe for chicken noodle soup.


Directed task: This task asks users to use a specific feature to do a task. We’re asking users to find something they might not otherwise look for and use a feature they might not use otherwise.




If we started with task 3, and moved in the reverse order, we would prime participants on how to behave in task 1 and task 2. It’s likely that we would miss out on learning how they would do things on their own without prompting. Funneling tasks, by starting with broad exploratory tasks before introducing directed tasks, ensures you get valid data about behavior.


Starting with broad exploratory tasks helps us learn about natural behavior, while directed tasks give us less information about how users would do something but more about a specific UI element.


The funnel technique is the idea behind stepped tasks. Stepped tasks are multistep tasks that start broad and then provide more specific instructions as necessary. 
For example, let’s imagine that we’re interested in studying the comparison feature on an ecommerce site. 




Task to give the participant


Rationale




Task 4: Choose a pair of headphones you might like to buy and add them to your cart.


Broad task: We’re giving participants a very natural task and hoping that they happen to use the feature we’re interested in along the way.




Task 4.1:  Your friend is considering buying the Apple Airpods or Apple Airpods Pro but isn’t sure which one to get. Use the site to decide which one you’d recommend to your friend and why.


If the participant doesn’t naturally discover and use the comparison feature on their own, we might give them a followup instruction like this. The goal is to put the participant in a more specific situation that might be less natural but will encourage them to use the feature.




Task 4.2: Can you find a way to compare those two headphones without having to switch back and forth between pages?


If the participant still doesn’t engage with the feature of interest, we might get even more direct. In this example, we’re strongly hinting that the comparison feature exists and asking the participant to use it. 




If we get to Task 4.2 in the stepped task example above, we might conclude that there are some discoverability or desirability issues with the feature. However, providing this level of specificity would allow us to make those conclusions while also getting a chance to see if there are any interaction-design problems with the feature itself.
Funneling in Followup Questions
In qualitative usability tests, the facilitator will make use of the funnel technique when asking followup questions. For example, we might ask the following questions after the participant has finished a task:




Question to give the participant


Rationale




Question 1: Do you have any thoughts about doing this activity on the website?


This broad, open-ended question allows participants to share anything related to the task they have completed.




Question 2: Was there anything easy or difficult?


This more specific open-ended question is focused on the ease of use. Here we’re prompting users to recall anything they might have liked using or had difficulty doing.




Question 3: What did you think about the filters you were using?


This open-ended question is even more specific. Here, we’re drawing the user’s attention to a specific UI element that they used in the task.




In the above example, we are starting with broad, open-ended questions before narrowing the scope to specific, open-ended questions that relate to a UI element that we want more feedback on. 
We shouldn’t start with Question 3 and move in the reverse direction, because it’s always better if participants volunteer information unprompted. We’re hoping the participant will organically provide feedback without our specific direction, because unsolicited feedback is more likely to be the participant’s true opinion. Asking participants for feedback on specific elements can be risky — there’s always a chance that the participant will simply make up an opinion for the researcher. For example, if the participant said the filters were really helpful in response to question 1, we can be more confident that they really think so than if they gave us a similar response to question 3.
Summary
The funnel technique can be used when administering questions or tasks in user interviews or usability tests. Start with broad open-ended questions or tasks before introducing more specific questions or tasks. This approach helps to ensure that you don’t miss out on important information and you avoid prompting or priming participants too early.
 
To learn more about interviews and moderating usability tests, explore our 5-day course on Qualitative Research or our 1-day courses on User Interviews and Usability Testing."
3,2022-07-17,"The field of user experience has a wide range of research methods available, ranging from tried-and-true methods such as lab-based usability testing to those that have been more recently developed, such as unmoderated UX assessments.
While it's not realistic to use the full set of methods on a given project, nearly all projects would benefit from multiple research methods and from combining insights. Unfortunately, many design teams only use one or two methods that they are most familiar with. The key question is what to use when. To better understand when to use which method, it is helpful to view them along a 3-dimensional framework with the following axes:

Attitudinal vs. Behavioral
Qualitative vs. Quantitative
Context of Use

The following chart illustrates where 20 popular methods appear along these dimensions:

Each dimension provides a way to distinguish among studies in terms of the questions they answer and the purposes they are most suited for. The methods placed in the middle of the quantitative–qualitative axis can be used to gather both qualitative and quantitative data.

The Attitudinal vs. Behavioral Dimension
This distinction can be summed up by contrasting ""what people say"" versus ""what people do"" (very often the two are quite different). The purpose of attitudinal research is usually to understand or measure people's stated beliefs, but it is limited by what people are aware of and willing to report.
While most usability studies should rely on behavior, methods that use self-reported information can still be quite useful to designers. For example, card sorting provides insights about users' mental model of an information space and can help determine the best information architecture for your product, application, or website. Surveys measure and categorize attitudes or collect self-reported data that can help track or discover important issues to address. Focus groups tend to be less useful for usability purposes, for a variety of reasons, but can provide a top-of-mind view of what people think about a brand or product concept in a group setting.
On the other end of this dimension, methods that focus mostly on behavior seek to understand ""what people do"" with the product or service in question. For example A/B testing presents changes to a site's design to random samples of site visitors but attempts to hold all else constant, in order to see the effect of different site-design choices on behavior, while eyetracking seeks to understand how users visually interact with a design or visual stimulus.
Between these two extremes lie the two most popular methods we use: usability studies and field studies. They utilize a mixture of self-reported and behavioral data and can move toward either end of this dimension, though leaning toward the behavioral side is generally recommended.
The Qualitative vs. Quantitative Dimension
The distinction here is an important one and goes well beyond the narrow view of qualitative as in an open-ended survey question. Rather, studies that are qualitative in nature generate data about behaviors or attitudes based on observing or hearing them directly, whereas in quantitative studies, the data about the behavior or attitudes in question are gathered indirectly, through a measurement or an instrument such as a survey or an analytics tool. In field studies and usability testing, for example, researchers directly observe how people use (or do not use) technology to meet their needs or to complete tasks. These observations give them the ability to ask questions, probe on behavior, or possibly even adjust the study protocol to better meet study objectives. Analysis of the data is usually not mathematical.
In contrast, the kind of data collected in quantitative methods is predetermined — it could include task time, success, whether the user has clicked on a given UI element or whether they selected a certain answer to a multiple-choice question. The insights in quantitative methods are typically derived from mathematical analysis, since the instrument of data collection (e.g., survey tool or analytics tool) captures such large amounts of data that are automatically coded numerically.
Due to the nature of their differences, qualitative methods are much better suited for answering questions about why or how to fix a problem, whereas quantitative methods do a much better job answering how many and how much types of questions. Having such numbers helps prioritize resources, for example to focus on issues with the biggest impact. The following chart illustrates how the first two dimensions affect the types of questions that can be asked:

The Context of Product Use
The third distinction has to do with how and whether participants in the study are using the product or service in question. This can be described as:

Natural or near-natural use of the product
Scripted use of the product
Limited in which a limited form of the product is used to study a specific aspect of the user experience
Not using the product during the study (decontextualized)

When studying natural use of the product, the goal is to minimize interference from the study in order to understand behavior or attitudes as close to reality as possible. This provides greater external validity but less control over what topics you learn about. Many ethnographic field studies attempt to do this, though there are always some observation biases. Intercept surveys and data mining or other analytic techniques are quantitative examples of this.
A scripted study of product usage is done in order to focus the insights on specific product areas, such as a newly redesigned flow. The degree of scripting can vary quite a bit, depending on the study goals. For example, a benchmarking study is usually very tightly scripted, so that it can produce reliable usability metrics by ensuring consistency across participants.
Limited methods use a limited form of a product to study a specific or abstracted aspect of the experience. For example, participatory-design methods allow users to interact with and rearrange design elements that could be part of a product experience, in order discuss how their proposed solutions would meet their needs and why they made certain choices. Concept-testing methods employ an expression of the idea of a product or service that gets at the heart of what it would provide (and not at the details of the experience) in order to understand if users would want or need such a product or service.  Card sorting and tree testing focus on how the information architecture is or could be arranged to best make sense to participants and make navigation easier.
Studies where the product is not used are conducted to examine issues that are broader than usage and usability, such as a study of the brand or discovering the aesthetic attributes that participants associate with a specific design style.
Many of the methods in the chart can move along one or more dimensions, and some do so even in the same study, usually to satisfy multiple goals. For example, field studies can focus a little more on what people say (ethnographic interviews) or emphasize studying what they do (extended observations); concept testing, desirability studies, and card sorting have both qualitative and quantitative versions; and eyetracking can be natural or scripted.
Phases of Product Development (the Time Dimension)
Another important distinction to consider when making a choice among research methodologies is the phase of product development and its associated objectives.  For example, in the beginning of the product-development process, you are typically more interested in the strategic question of what direction to take the product, so methods at this stage are often generative in nature, because they help generate ideas and answers about which way to go.  Once a direction is selected, the design phase begins, so methods in this stage are well-described as formative, because they inform how you can improve the design.  After a product has been developed enough to measure it, it can be assessed against earlier versions of itself or competitors, and methods that do this are called summative. This following table describes where many methods map to these stages in time:




Product-Development Stage




Strategize


Design


Launch & Assess




Research goal: 
			Find new directions and opportunities


Research goal:
			Improve usability of design


Research goal:
			Measure product performance against itself or its competition




Generative research methods


Formative research methods


Summative research methods




Example methods




Field studies, diary studies, interviews, surveys, participatory design, concept testing


Card sorting, tree testing, usability testing, remote testing (moderated and unmoderated)


Usability benchmarking, unmoderated UX testing, A/B testing, clickstream / analytics, surveys




Art or Science?
While many user-experience research methods have their roots in scientific practice, their aims are not purely scientific and still need to be adjusted to meet stakeholder needs. This is why the characterizations of the methods here are meant as general guidelines, rather than rigid classifications.
In the end, the success of your work will be determined by how much of an impact it has on improving the user experience of the website or product in question. These classifications are meant to help you make the best choice at the right time.
20 UX Methods in Brief
Here’s a short description of the user research methods shown in the above chart:
Usability testing (aka usability-lab studies): Participants are brought into a lab, one-on-one with a researcher, and given a set of scenarios that lead to tasks and usage of specific interest within a product or service.
Field studies: Researchers study participants in their own environment (work or home), where they would most likely encounter the product or service being used in the most realistic or natural environment.
Contextual inquiry: Researchers and participants collaborate together in the participants own environment to inquire about and observe the nature of the tasks and work at hand. This method is very similar to a field study and was developed to study complex systems and in-depth processes.
Participatory design: Participants are given design elements or creative materials in order to construct their ideal experience in a concrete way that expresses what matters to them most and why.
Focus groups: Groups of 3–12 participants are led through a discussion about a set of topics, giving verbal and written feedback through discussion and exercises.
Interviews: a researcher meets with participants one-on-one to discuss in depth what the participant thinks about the topic in question.
Eyetracking: an eyetracking device is configured to precisely measure where participants look as they perform tasks or interact naturally with websites, applications, physical products, or environments.
Usability benchmarking: tightly scripted usability studies are performed with larger numbers of participants, using precise and predetermined measures of performance, usually with the goal of tracking usability improvements of a product over time or comparing with competitors.
Remote moderated testing: Usability studies are conducted remotely, with the use of tools such as video conferencing, screen-sharing software, and remote-control capabilities.
Unmoderated testing: An automated method that can be used in both quantitative and qualitative studies and that uses a specialized research tool to capture participant behaviors and attitudes, usually by giving participants goals or scenarios to accomplish with a site, app, or prototype. The tool can  record a video stream of each user session, and can gather usability metrics such as success rate, task time, and perceived ease of use.
Concept testing: A researcher shares an approximation of a product or service that captures the key essence (the value proposition) of a new concept or product in order to determine if it meets the needs of the target audience. It can be done one-on-one or with larger numbers of participants, and either in person or online.
Diary studies: Participants are using a mechanism (e.g., paper or digital diary, camera, smartphone app) to record and describe aspects of their lives that are relevant to a product or service or simply core to the target audience. Diary studies are typically longitudinal and can be done only for data that is easily recorded by participants.
Customer feedback: Open-ended and/or close-ended information is provided by a self-selected sample of users, often through a feedback link, button, form, or email.
Desirability studies: Participants are offered different visual-design alternatives and are expected to associate each alternative with a set of attributes selected from a closed list. These studies can be both qualitative and quantitative.
Card sorting: A quantitative or qualitative method that asks users to organize items into groups and assign categories to each group. This method helps create or refine the information architecture of a site by exposing users’ mental models.
Tree testing: A quantitative method of testing an information architecture to determine how easy it is to find items in the hierarchy. This method can be conducted on an existing information architecture to benchmark it and then again, after the information architecture is improved with card sorting, to demonstrate improvement.
Analytics: Analyzing data collected from user behavior like clicks, form filling, and other recorded interactions. It requires the site or application to be instrumented properly in advance.
Clickstream analytics:  A particular type of analytics that involves analyzing the sequence of pages that users visit as they use a site or software application.
A/B testing (aka multivariate testing, live testing, or bucket testing): A method of scientifically testing different designs on a site by randomly assigning groups of users to interact with each of the different designs and measuring the effect of these assignments on user behavior.
Surveys: A quantitative measure of attitudes through a series of questions, typically more closed-ended than open-ended.  A survey that is triggered during the use of a site or application is an intercept survey, often triggered by user behavior. More typically, participants are recruited from an email message or reached through some other channel such as social media.
In-Depth Course
More details about the methods and the dimensions of use in the full-day training course User Research Methods: From Strategy to Requirements to Design and the article A Guide to Using User-Experience Research Methods."
4,2022-07-03,"To ensure that user research provides meaningful data, UX teams must get feedback from representative customers. You can certainly reach out to a customer for a quick phone call about their experiences without calling it a research session or needing a consent form. However, as soon as you transcribe quotes from that call or share that person’s information with other people on your team, you are technically (mis)using that person’s data in a manner to which they did not agree.
In other words, by not informing your participants about how you will use their data and by misleading them into believing that they were having a private conversation, you may be violating research ethics principles and taking advantage of that person’s kindness and willingness to help.
Informed consent is an exchange of information in which both of the following must occur:

The researcher informs the participant about what involvement in the study entails and the potential consequences of participating.
The participant fully understands the terms of the study and can make an informed decision about whether they would like to voluntarily participate.

A research consent form (also known as an informed consent form) serves as written documentation of this exchange.
(A downloadable example of a research consent form can be found at the end of this article.)
Why Is Informed Consent Important?
While researchers may be well-intended in their hopes of learning about user behaviors, the intent does not matter nearly as much as the execution of the study and its impact. There are many documented cases of unethical research and its dangerous outcomes. One famous example of research abuse is the Nuremberg doctors’ trial. The doctors were placed on trial for war crimes, due to harmful and lethal experiments on inmates at Nazi concentration camps. This trial led to the creation of the Nuremberg Code, which is a set of ethics principles for human experimentation.
The Tuskegee syphilis study is also notorious for its lethal impact on more than 100 of the 400 African American participants, all of whom were not fully informed on the nature of the experiment, which studied the effects of untreated syphilis. This trial led to creation of the National Research Act and the Belmont Report, which outlines additional “ethical principles and guidelines for the protection of human subjects” for both biomedical and behavioral research.
To avoid further harm, most research institutions (like universities) have established institutional review boards (IRBs) that provide ethical oversight and approval authority on any planned research. Whether your organization has an IRB or not, informed consent is a fundamental part of an ethical research program that respects participants and does not take advantage of (or deceive) them.
Informed Consent Means Respecting and Protecting Participants
While most user research with digital products will typically be nonclinical in nature (and, thus, relatively low-risk), there is still risk to the participants' wellbeing, especially if the tasks they conduct during the study cause temporary hardship, distress, discomfort, or pain. This is particularly true for vulnerable populations who are already experiencing these things due to injury, abuse, trauma, or general misfortune. To be clear, we can still do research on sensitive topics or with vulnerable or disadvantaged populations, but we must take extra precautions and communicate the study’s potential impact in advance to protect participants’ wellbeing.
It’s worth noting that there are populations who are vulnerable or incapable of granting informed consent, due to the criteria of the second bullet point: the participant’s understanding and voluntary participation. For example, children/minors, adults with cognitive impairments, low or no literacy, or mentally incapacitated individuals (e.g., unconscious or under the influence of alcohol or drugs) may not be capable of fully understanding the terms of the study or lack the full agency needed to make voluntary decisions (at times relying upon guardians to make these decisions). Thus, these parties cannot offer informed consent on their own, and researchers need the consent of their guardian before conducting any research, no matter how low-risk.
Similarly, inmates and prisoners are already performing an involuntary task, so the second criteria, voluntary participation, is not always possible. The decisions with these populations are rarely fully voluntary, and voluntary withdrawal may not be seen as a valid option due to fear of authorities or retribution. Furthermore, there may be additional legal requirements like consent of a prisoner representative and approval from an IRB before any research is conducted.
Are Consent Forms Really Necessary?
Writing out consent forms may seem like unnecessary work when you could just tell the participant what the study will be like. However, written consent forms are critical for a number of reasons:

They consistently inform every participant with the same level of detail, whether they are the first or the 1,000th participant in the study and regardless of which researcher works with them. The written documentation serves as a paper trail to ensure that the researcher satisfactorily informed all participants and that all the key study details were covered every single time.
They hold researchers accountable to protect the welfare and wellbeing of study participants and their data. A participant may forget what they initially consented to, but a signed form empowers the participant to be in control of their participation and protect their own welfare, wellbeing, and data, should the researcher deviate from the original plan.
They prevent the research team (to some extent) from running a poor study. Granted, there can still be poor studies with consent forms, but consent-form writing helps researchers think through all the nuances of their study, including the activities the participant will do, the data that is truly needed, and how that data will be protected during and after the session.

That said, there are exceptions where a consent form is not necessary. A/B testing, for example, can be characterized as routine use of a product, and therefore, does not require additional involvement on the part of the participant. Plus, data from any single user is used only as part of a bigger statistic.
You may also not need a full-length consent form for an intercept study, which is the equivalent of interrupting someone while they are in the middle of a task to get their thoughts on that particular task. That said, you should still begin the intercept study with an agreement page containing a brief summary of how the information they provide will be used, stored, shared, and deleted. Also, if you are physically intercepting them in a public location, you should still get written permission from any physical establishment in which you are recruiting, to avoid getting in trouble for soliciting on a private property — which is illegal in many countries.
What Belongs in a Consent Form?
At the end of this article, you’ll find a consent-form template that you can repurpose for future research, but remember that your consent forms should be carefully considered and crafted based on the unique needs and format of each study.
 In general, a consent form should have the following information:

High-level purpose of the study
	Provide just enough detail to inform the participant about the nature of the study, without giving away any hypotheses or details that may skew behavior during the study. That said, this statement shouldn’t be as vague as “to learn about our customers.” Consider mentioning the objective of the research — for instance, to improve an existing product or strategize for future service development.
Format of the study (activities, tasks, and duration)
	Describe the types of activities and tasks the participant may complete. This is where you can say how the data will be collected and to what extent the participant can expect to interact with the researcher(s). With that, the duration of the study should be clearly stated. “Umbrella” consent forms in which the user consents to an indefinite timeframe of research for current and future studies can be very problematic in their lack of specificity and susceptibility to abuse (and, generally, participants probably will not want to participate in something that has no defined end point).
Voluntary-participation clause
	While research participants usually understand that they have volunteered to participate in the study, it may not always be clear that withdrawal is voluntary, or that it’s permissible for them to change their minds. Signing paperwork often can feel very “final,” so this clause helps to reassure that the participant is always in control of their participation.
Participant-data handling
	Explain how personal data, findings, and recordings (if applicable) will be handled by answering key questions like:
	
Will data be anonymized? If so, how much of it will be anonymized?
How will it be used, accessed, and stored? Who has access to this information?
Will it ever be published anywhere?
When will the raw, recorded data be deleted (if ever)?
Can the participant request that information is deleted?


Consent statement
	While many consent forms will simply have a signature block for participants to indicate consent or a single checkbox labeled, I consent to the terms of this study, this section should be carefully formatted and worded to instill confidence and give the participant agency and choices over their involvement.
Multiple checkboxes 
	Instead of requiring the participant to agree to a blanket statement, consider a modular consent structure, allowing participants to consent to certain parts or aspects of the study but not others. For example, participants may consent to participating in the study but may opt out of recordings or data publication. So, instead of I agree and consent to the terms of this study, understanding that our session may be recorded, your consent form may include a series of checkboxes:
	
I agree to the terms of this study and consent to participate.
I consent to audio being recorded during the session for analysis purposes.
I consent to video being recorded during the session for analysis purposes.



This modular consent form increases the likelihood that the participant will participate and contribute data to the study, even if they do not consent to recordings.
Other optional information to include, if applicable:

Compensation 
	If you will be providing compensation for the participants’ time, be it monetary or as free products or services, clearly state it in the consent form. Regardless which method you choose, make it clear that compensation is not based on the participants’ abilities or on whether they provide positive feedback. Especially during any form of “testing,” participants can sometimes feel like they are being tested for their abilities and performance, rather than the design.
	Tip: For in-person testing, it helps to reinforce this idea by paying participants at the beginning of the session, before tasks begin, right after they sign the consent form.
Parent or guardian involvement and approval
	If your participant is a minor or an adult with a guardian, a parent or guardian will likely accompany them into the session. Include a designated Parent or guardian signature block, to make it clear the signature belongs to a parent or guardian and that the participant was not coerced into signing. Any special considerations regarding studies with minors or other adults with guardians should be clearly communicated in the consent form.
Information (or debrief) sheet
	Some study formats may warrant an additional information sheet (separate from the signed consent form) which contains a more detailed description of the study’s purpose. Such an information sheet is usually given to the participant at the end of the study, to avoid priming them to behave differently during the study.

Lastly, regardless if you use a separate information sheet or not, you should always give the participant a copy of the signed consent form, so they can refer to it after the study. This ensures the participant knows what they signed and who to contact for further questions about the research.
Conclusion
Human-centered design begins with human-centered research, and, as such, improvements to a design should never come at the cost of another person’s wellbeing. Getting informed consent from participants is critical for researchers to carry out fair, transparent, and accurate research while doing their part to minimize harm. By writing a thorough consent form, researchers can think through important details of their study and build trust and confidence with participants.
Resources
Shuster, E. Fifty Years Later: The Significance of the Nuremberg Code. New England Journal of Medicine 337, 20 (1997), 1436-1440.
The Belmont Report. Office for Human Research Protections, 1979.
https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report/read-the-belmont-report/index.html.
"
